triple_id,head_id,relation,tail_id,head_ontology,tail_ontology,source,provenance,is_inferred,is_anchor,release_layer
T00000001,DOID:D001,subclass_of,DOID:PD001,DOID,DOID,canonical,asserted,false,false,public
T00000002,DOID:PD001,subclass_of,DOID:GD001,DOID,DOID,canonical,asserted,false,false,public
T00000003,DOID:GD001,subclass_of,DOID:RD001,DOID,DOID,canonical,asserted,false,false,public
T00000004,DOID:CD001_1,subclass_of,DOID:D001,DOID,DOID,canonical,asserted,false,false,public
T00000005,DOID:CD001_1_1,subclass_of,DOID:CD001_1,DOID,DOID,canonical,asserted,false,false,public
T00000006,DOID:CD001_1_2,subclass_of,DOID:CD001_1,DOID,DOID,canonical,asserted,false,false,public
T00000007,DOID:CD001_2,subclass_of,DOID:D001,DOID,DOID,canonical,asserted,false,false,public
T00000008,DOID:CD001_2_1,subclass_of,DOID:CD001_2,DOID,DOID,canonical,asserted,false,false,public
T00000009,DOID:CD001_2_2,subclass_of,DOID:CD001_2,DOID,DOID,canonical,asserted,false,false,public
T00000010,DOID:CD001_3,subclass_of,DOID:D001,DOID,DOID,canonical,asserted,false,false,public
T00000011,DOID:CD001_3_1,subclass_of,DOID:CD001_3,DOID,DOID,canonical,asserted,false,false,public
T00000012,DOID:CD001_3_2,subclass_of,DOID:CD001_3,DOID,DOID,canonical,asserted,false,false,public
T00000013,DOID:D002,subclass_of,DOID:PD002,DOID,DOID,canonical,asserted,false,false,public
T00000014,DOID:PD002,subclass_of,DOID:GD002,DOID,DOID,canonical,asserted,false,false,public
T00000015,DOID:GD002,subclass_of,DOID:RD002,DOID,DOID,canonical,asserted,false,false,public
T00000016,DOID:CD002_1,subclass_of,DOID:D002,DOID,DOID,canonical,asserted,false,false,public
T00000017,DOID:CD002_1_1,subclass_of,DOID:CD002_1,DOID,DOID,canonical,asserted,false,false,public
T00000018,DOID:CD002_1_2,subclass_of,DOID:CD002_1,DOID,DOID,canonical,asserted,false,false,public
T00000019,DOID:CD002_2,subclass_of,DOID:D002,DOID,DOID,canonical,asserted,false,false,public
T00000020,DOID:CD002_2_1,subclass_of,DOID:CD002_2,DOID,DOID,canonical,asserted,false,false,public
T00000021,DOID:CD002_2_2,subclass_of,DOID:CD002_2,DOID,DOID,canonical,asserted,false,false,public
T00000022,DOID:CD002_3,subclass_of,DOID:D002,DOID,DOID,canonical,asserted,false,false,public
T00000023,DOID:CD002_3_1,subclass_of,DOID:CD002_3,DOID,DOID,canonical,asserted,false,false,public
T00000024,DOID:CD002_3_2,subclass_of,DOID:CD002_3,DOID,DOID,canonical,asserted,false,false,public
T00000025,DOID:D003,subclass_of,DOID:PD003,DOID,DOID,canonical,asserted,false,false,public
T00000026,DOID:PD003,subclass_of,DOID:GD003,DOID,DOID,canonical,asserted,false,false,public
T00000027,DOID:GD003,subclass_of,DOID:RD003,DOID,DOID,canonical,asserted,false,false,public
T00000028,DOID:CD003_1,subclass_of,DOID:D003,DOID,DOID,canonical,asserted,false,false,public
T00000029,DOID:CD003_1_1,subclass_of,DOID:CD003_1,DOID,DOID,canonical,asserted,false,false,public
T00000030,DOID:CD003_1_2,subclass_of,DOID:CD003_1,DOID,DOID,canonical,asserted,false,false,public
T00000031,DOID:CD003_2,subclass_of,DOID:D003,DOID,DOID,canonical,asserted,false,false,public
T00000032,DOID:CD003_2_1,subclass_of,DOID:CD003_2,DOID,DOID,canonical,asserted,false,false,public
T00000033,DOID:CD003_2_2,subclass_of,DOID:CD003_2,DOID,DOID,canonical,asserted,false,false,public
T00000034,DOID:CD003_3,subclass_of,DOID:D003,DOID,DOID,canonical,asserted,false,false,public
T00000035,DOID:CD003_3_1,subclass_of,DOID:CD003_3,DOID,DOID,canonical,asserted,false,false,public
T00000036,DOID:CD003_3_2,subclass_of,DOID:CD003_3,DOID,DOID,canonical,asserted,false,false,public
